GROUP_ID,GROUP_NAME,TEAM_ID,OFF_RATING,DEF_RATING,NET_RATING
-202083-203991-1627749-1629726-1630249-,W. Matthews - C. Capela - D. Murray - G. Mathews - V. Krejci,1610612737,126.7,108.3,18.3
-1627749-1629631-1630168-1630180-1631100-,D. Murray - D. Hunter - O. Okongwu - S. Bey - A. Griffin,1610612737,141.7,100.0,41.7
-1628981-1629726-1630235-1631243-1641723-,B. Fernando - G. Mathews - T. Forrest - M. Gueye - K. Bufkin,1610612737,63.6,40.0,23.6
-203992-1629027-1629631-1629726-1631243-,B. Bogdanovic - T. Young - D. Hunter - G. Mathews - M. Gueye,1610612737,100.0,90.9,9.1
-203991-1627749-1629631-1629726-1630552-,C. Capela - D. Murray - D. Hunter - G. Mathews - J. Johnson,1610612737,82.4,80.0,2.4
-1628981-1629685-1629726-1630235-1630249-,B. Fernando - D. Windler - G. Mathews - T. Forrest - V. Krejci,1610612737,81.8,108.3,-26.5
-201988-203992-1629631-1630168-1630180-,P. Mills - B. Bogdanovic - D. Hunter - O. Okongwu - S. Bey,1610612737,108.3,107.7,0.6
-1628981-1629631-1629726-1630552-1641723-,B. Fernando - D. Hunter - G. Mathews - J. Johnson - K. Bufkin,1610612737,109.1,66.7,42.4
-203991-203992-1627749-1629726-1630180-,C. Capela - B. Bogdanovic - D. Murray - G. Mathews - S. Bey,1610612737,100.0,123.1,-23.1
-203992-1629631-1630168-1630180-1630235-,B. Bogdanovic - D. Hunter - O. Okongwu - S. Bey - T. Forrest,1610612737,108.3,127.3,-18.9
-203992-1629631-1630168-1630235-1630249-,B. Bogdanovic - D. Hunter - O. Okongwu - T. Forrest - V. Krejci,1610612737,83.3,127.3,-43.9
-203992-1627749-1628981-1630180-1630552-,B. Bogdanovic - D. Murray - B. Fernando - S. Bey - J. Johnson,1610612737,109.1,200.0,-90.9
-1627749-1629631-1629726-1630168-1630235-,D. Murray - D. Hunter - G. Mathews - O. Okongwu - T. Forrest,1610612737,54.5,127.3,-72.7
-202083-1628981-1629726-1630235-1641723-,W. Matthews - B. Fernando - G. Mathews - T. Forrest - K. Bufkin,1610612737,77.8,90.0,-12.2
-202083-203992-1628981-1630552-1641723-,W. Matthews - B. Bogdanovic - B. Fernando - J. Johnson - K. Bufkin,1610612737,116.7,100.0,16.7
-203991-203992-1630249-1630552-1641723-,C. Capela - B. Bogdanovic - V. Krejci - J. Johnson - K. Bufkin,1610612737,118.2,40.0,78.2
-203991-1629631-1629726-1630235-1630552-,C. Capela - D. Hunter - G. Mathews - T. Forrest - J. Johnson,1610612737,90.0,180.0,-90.0
-203991-1627749-1629726-1630180-1641723-,C. Capela - D. Murray - G. Mathews - S. Bey - K. Bufkin,1610612737,150.0,100.0,50.0
-203991-203992-1629685-1630249-1641723-,C. Capela - B. Bogdanovic - D. Windler - V. Krejci - K. Bufkin,1610612737,69.2,100.0,-30.8
-203991-203992-1627749-1629726-1630235-,C. Capela - B. Bogdanovic - D. Murray - G. Mathews - T. Forrest,1610612737,90.0,81.8,8.2
-1629027-1629726-1630249-1631100-1631243-,T. Young - G. Mathews - V. Krejci - A. Griffin - M. Gueye,1610612737,100.0,169.2,-69.2
