game_id,player,period,start_event,end_event,start_time,end_time,home_lineup,away_lineup,def_rebounds,assists,3pt_made,points,2pt_made,fouls,off_rebounds,ft_made,turnovers,steals
,Trae Young,2,249,256,6:24,6:13,"('Aaron Nesmith', 'Andrew Nembhard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Dejounte Murray', 'Mouhamed Gueye', 'Trae Young')",,,,2.0,,,,2.0,,
,Trae Young,2,258,259,6:13,6:03,"('Aaron Nesmith', 'Andrew Nembhard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Dejounte Murray', 'Mouhamed Gueye', 'Trae Young')",,,,1.0,,,,1.0,,
,Andrew Nembhard,2,259,306,6:03,3:00,"('Andrew Nembhard', 'Ben Sheppard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Dejounte Murray', 'Mouhamed Gueye', 'Trae Young')",1.0,,1.0,5.0,1.0,,,,,
,Mouhamed Gueye,2,259,306,6:03,3:00,"('Andrew Nembhard', 'Ben Sheppard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Dejounte Murray', 'Mouhamed Gueye', 'Trae Young')",2.0,,1.0,3.0,,3.0,,,,
,Trae Young,2,259,306,6:03,3:00,"('Andrew Nembhard', 'Ben Sheppard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Dejounte Murray', 'Mouhamed Gueye', 'Trae Young')",,1.0,,,,,,,1.0,
,Dejounte Murray,2,259,306,6:03,3:00,"('Andrew Nembhard', 'Ben Sheppard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Dejounte Murray', 'Mouhamed Gueye', 'Trae Young')",,,1.0,6.0,1.0,,,1.0,,
,De'Andre Hunter,2,259,306,6:03,3:00,"('Andrew Nembhard', 'Ben Sheppard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Dejounte Murray', 'Mouhamed Gueye', 'Trae Young')",,1.0,,,,,,,,
,Tyrese Haliburton,2,259,306,6:03,3:00,"('Andrew Nembhard', 'Ben Sheppard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Dejounte Murray', 'Mouhamed Gueye', 'Trae Young')",1.0,,,5.0,2.0,1.0,,1.0,,
,Pascal Siakam,2,259,306,6:03,3:00,"('Andrew Nembhard', 'Ben Sheppard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Dejounte Murray', 'Mouhamed Gueye', 'Trae Young')",1.0,1.0,,2.0,1.0,,,,,
,Bogdan Bogdanović,2,259,306,6:03,3:00,"('Andrew Nembhard', 'Ben Sheppard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Dejounte Murray', 'Mouhamed Gueye', 'Trae Young')",1.0,,,2.0,1.0,,,,,
,Ben Sheppard,2,259,306,6:03,3:00,"('Andrew Nembhard', 'Ben Sheppard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Dejounte Murray', 'Mouhamed Gueye', 'Trae Young')",,1.0,,,,,,,,
,Myles Turner,2,259,306,6:03,3:00,"('Andrew Nembhard', 'Ben Sheppard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Dejounte Murray', 'Mouhamed Gueye', 'Trae Young')",,,,2.0,1.0,,2.0,,,
,Pascal Siakam,2,306,330,3:00,1:11,"('Andrew Nembhard', 'Ben Sheppard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', 'Bruno Fernando', ""De'Andre Hunter"", 'Dejounte Murray', 'Trae Young')",,,,2.0,1.0,1.0,,,,1.0
,Dejounte Murray,2,306,330,3:00,1:11,"('Andrew Nembhard', 'Ben Sheppard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', 'Bruno Fernando', ""De'Andre Hunter"", 'Dejounte Murray', 'Trae Young')",,,,,,1.0,,,1.0,
,Tyrese Haliburton,2,306,330,3:00,1:11,"('Andrew Nembhard', 'Ben Sheppard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', 'Bruno Fernando', ""De'Andre Hunter"", 'Dejounte Murray', 'Trae Young')",,1.0,,2.0,1.0,,,,,1.0
,Myles Turner,2,306,330,3:00,1:11,"('Andrew Nembhard', 'Ben Sheppard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', 'Bruno Fernando', ""De'Andre Hunter"", 'Dejounte Murray', 'Trae Young')",2.0,,,3.0,1.0,,1.0,1.0,,
,De'Andre Hunter,2,306,330,3:00,1:11,"('Andrew Nembhard', 'Ben Sheppard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', 'Bruno Fernando', ""De'Andre Hunter"", 'Dejounte Murray', 'Trae Young')",1.0,,,1.0,,,,1.0,,
,Trae Young,2,306,330,3:00,1:11,"('Andrew Nembhard', 'Ben Sheppard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', 'Bruno Fernando', ""De'Andre Hunter"", 'Dejounte Murray', 'Trae Young')",,,,,,,,,1.0,
,De'Andre Hunter,2,332,333,1:11,1:03,"('Andrew Nembhard', 'Ben Sheppard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', 'Bruno Fernando', ""De'Andre Hunter"", 'Dejounte Murray', 'Trae Young')",,,,1.0,,,,1.0,,
,Tyrese Haliburton,2,333,343,1:03,0:08,"('Ben Sheppard', 'Myles Turner', 'Pascal Siakam', 'T.J. McConnell', 'Tyrese Haliburton')","('Bogdan Bogdanović', 'Bruno Fernando', ""De'Andre Hunter"", 'Dejounte Murray', 'Trae Young')",,,,,,,,,1.0,
,Bogdan Bogdanović,2,333,343,1:03,0:08,"('Ben Sheppard', 'Myles Turner', 'Pascal Siakam', 'T.J. McConnell', 'Tyrese Haliburton')","('Bogdan Bogdanović', 'Bruno Fernando', ""De'Andre Hunter"", 'Dejounte Murray', 'Trae Young')",,,,2.0,1.0,,,,,1.0
,Trae Young,2,333,343,1:03,0:08,"('Ben Sheppard', 'Myles Turner', 'Pascal Siakam', 'T.J. McConnell', 'Tyrese Haliburton')","('Bogdan Bogdanović', 'Bruno Fernando', ""De'Andre Hunter"", 'Dejounte Murray', 'Trae Young')",,1.0,,,,,,,,
,Ben Sheppard,2,333,343,1:03,0:08,"('Ben Sheppard', 'Myles Turner', 'Pascal Siakam', 'T.J. McConnell', 'Tyrese Haliburton')","('Bogdan Bogdanović', 'Bruno Fernando', ""De'Andre Hunter"", 'Dejounte Murray', 'Trae Young')",,,,,,,1.0,,,
,Myles Turner,2,333,343,1:03,0:08,"('Ben Sheppard', 'Myles Turner', 'Pascal Siakam', 'T.J. McConnell', 'Tyrese Haliburton')","('Bogdan Bogdanović', 'Bruno Fernando', ""De'Andre Hunter"", 'Dejounte Murray', 'Trae Young')",,,,2.0,1.0,,,,,
,T.J. McConnell,2,333,343,1:03,0:08,"('Ben Sheppard', 'Myles Turner', 'Pascal Siakam', 'T.J. McConnell', 'Tyrese Haliburton')","('Bogdan Bogdanović', 'Bruno Fernando', ""De'Andre Hunter"", 'Dejounte Murray', 'Trae Young')",,1.0,,,,,,,,
,Dejounte Murray,2,333,343,1:03,0:08,"('Ben Sheppard', 'Myles Turner', 'Pascal Siakam', 'T.J. McConnell', 'Tyrese Haliburton')","('Bogdan Bogdanović', 'Bruno Fernando', ""De'Andre Hunter"", 'Dejounte Murray', 'Trae Young')",,,,2.0,1.0,,,,,
,Pascal Siakam,2,343,359,0:08,11:38,"('Ben Sheppard', 'Jalen Smith', 'Pascal Siakam', 'T.J. McConnell', 'Tyrese Haliburton')","('Bogdan Bogdanović', 'Bruno Fernando', ""De'Andre Hunter"", 'Dejounte Murray', 'Trae Young')",,,,3.0,1.0,,,1.0,,
,Tyrese Haliburton,2,343,359,0:08,11:38,"('Ben Sheppard', 'Jalen Smith', 'Pascal Siakam', 'T.J. McConnell', 'Tyrese Haliburton')","('Bogdan Bogdanović', 'Bruno Fernando', ""De'Andre Hunter"", 'Dejounte Murray', 'Trae Young')",,1.0,,,,,,,,
,De'Andre Hunter,2,343,359,0:08,11:38,"('Ben Sheppard', 'Jalen Smith', 'Pascal Siakam', 'T.J. McConnell', 'Tyrese Haliburton')","('Bogdan Bogdanović', 'Bruno Fernando', ""De'Andre Hunter"", 'Dejounte Murray', 'Trae Young')",,,,,,1.0,,,,
,Pascal Siakam,3,359,409,11:38,6:27,"('Aaron Nesmith', 'Andrew Nembhard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', 'Bruno Fernando', ""De'Andre Hunter"", 'Dejounte Murray', 'Trae Young')",,,1.0,7.0,2.0,,,,,
